game_id,home_team,away_team,commence_time,book,market,last_update,home_price,away_price,over_price,under_price,point
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,draftkings,h2h,2026-05-15T17:25:35Z,-130,110,,,
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,draftkings,spreads,2026-05-15T17:25:35Z,-105,-115,,,-2.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,draftkings,totals,2026-05-15T17:25:35Z,,,-110,-110,45.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,hardrockbet,h2h,2026-05-15T17:25:35Z,-125,-105,,,
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,hardrockbet,spreads,2026-05-15T17:25:35Z,-115,-115,,,-2.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,hardrockbet,totals,2026-05-15T17:25:35Z,,,-115,-115,45.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,fanduel,h2h,2026-05-15T17:25:36Z,-120,100,,,
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,fanduel,spreads,2026-05-15T17:25:36Z,-110,-110,,,-2.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,fanduel,totals,2026-05-15T17:25:36Z,,,-110,-110,45.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,betmgm,h2h,2026-05-15T17:25:35Z,-125,105,,,
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,betmgm,spreads,2026-05-15T17:25:35Z,-110,-110,,,-2.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,betmgm,totals,2026-05-15T17:25:35Z,,,-110,-110,45.5
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,williamhill_us,h2h,2026-05-15T17:23:28Z,-131,109,,,
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,williamhill_us,spreads,2026-05-15T17:23:28Z,-110,-112,,,-2.0
8443aeb324ee9b4e3f18c2c8b360f898,Dallas Renegades,Orlando Storm,2026-05-16T00:00:00Z,williamhill_us,totals,2026-05-15T17:23:28Z,,,-114,-108,45.0
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,draftkings,h2h,2026-05-15T17:25:35Z,195,-238,,,
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,draftkings,spreads,2026-05-15T17:25:35Z,-112,-108,,,5.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,draftkings,totals,2026-05-15T17:25:35Z,,,-115,-105,45.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,hardrockbet,h2h,2026-05-15T17:25:35Z,180,-250,,,
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,hardrockbet,spreads,2026-05-15T17:25:35Z,-115,-115,,,5.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,hardrockbet,totals,2026-05-15T17:25:35Z,,,-115,-115,45.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,fanduel,h2h,2026-05-15T17:25:36Z,200,-240,,,
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,fanduel,spreads,2026-05-15T17:25:36Z,-110,-110,,,5.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,fanduel,totals,2026-05-15T17:25:36Z,,,-110,-110,45.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,betmgm,h2h,2026-05-15T17:25:35Z,200,-250,,,
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,betmgm,spreads,2026-05-15T17:25:35Z,-120,100,,,6.0
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,betmgm,totals,2026-05-15T17:25:35Z,,,-110,-110,45.5
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,williamhill_us,h2h,2026-05-15T17:23:28Z,205,-250,,,
04f80b4ba519e3a05732936fceeb250a,Louisville Kings,DC Defenders,2026-05-16T16:00:00Z,williamhill_us,spreads,2026-05-15T17:23:28Z,-120,-104,,,6.0
